id,title,type,description,human_readable_id,text_unit_ids,degree,frequency
SUP_Shanghai_Jingxin,上海京新医药,Supplier,chinese:京新药业(上海); capacity:Q酸 400t; status:主要产能; cert:—; desc:Q酸上游，京新药业旗下,SUP_Shanghai_Jingxin,,0,1
SUP_Jiangxi_Shanchuang,江西善创药业,Supplier,chinese:江西善创; capacity:Q酸 300t; status:主要产能; cert:—,SUP_Jiangxi_Shanchuang,,0,1
SUP_Anhui_Beika,安徽北卡药业,Supplier,chinese:安徽北卡; capacity:Q酸 250t; status:主要产能; cert:—,SUP_Anhui_Beika,,0,1
SUP_Zhejiang_Jingxin,浙江京新药业,Supplier,chinese:浙江京新药业; capacity:左氧 1800t; status:主要产能; cert:FDA DMF / EDQM CEP; desc:左氧氟沙星全球龙头，Q酸→API→制剂一体化，绍兴新昌,SUP_Zhejiang_Jingxin,,0,1
SUP_Jiangxi_Dadi,江西大地制药,Supplier,chinese:江西大地制药; capacity:左氧 1600t; status:主要产能; cert:—; desc:左氧第2大供应商,SUP_Jiangxi_Dadi,,0,1
SUP_Anhui_Jiesheng,安徽皆省生物科技,Supplier,chinese:安徽皆省; capacity:左氧 1000t; status:主要产能; cert:—,SUP_Anhui_Jiesheng,,0,1
SUP_InnerMongolia_Anzhou,内蒙古安洲药业,Supplier,chinese:内蒙古安洲; capacity:左氧 500t / 环丙 500t; status:主要产能; cert:—,SUP_InnerMongolia_Anzhou,,0,1
SUP_Zhejiang_HuiHai,浙江翚海制药,Supplier,chinese:浙江翚海; capacity:左氧 200t; status:主要产能; cert:—,SUP_Zhejiang_HuiHai,,0,1
SUP_Jiangxi_Hongbang,江西弘邦化工,Supplier,chinese:江西弘邦化工; capacity:左氧 200t; status:主要产能; cert:—,SUP_Jiangxi_Hongbang,,0,1
SUP_Zhejiang_Langhua,浙江朗华制药,Supplier,chinese:浙江朗华; capacity:左氧 100t / 环丙 800t; status:主要产能; cert:FDA DMF; desc:左氧+环丙双产品线，台州,SUP_Zhejiang_Langhua,,0,1
SUP_Henan_Aoda,河南奥达制药,Supplier,chinese:河南奥达; capacity:左氧 100t / 环丙 100t; status:主要产能; cert:—,SUP_Henan_Aoda,,0,1
SUP_Zhejiang_Guobang,浙江国邦药业,Supplier,chinese:国邦医药; capacity:环丙羧酸 5000t; status:主要产能; cert:FDA DMF / EDQM CEP; desc:环丙羧酸全球龙头5000t，环丙沙星API→制剂一体化,SUP_Zhejiang_Guobang,,0,1
SUP_Shandong_Jingxin,山东京新药业,Supplier,chinese:京新药业(山东); capacity:环丙羧酸 4000t; status:主要产能; cert:—; desc:环丙羧酸第2大，京新山东基地,SUP_Shandong_Jingxin,,0,1
SUP_Hebei_Chaorun,河北超润润生物科技,Supplier,chinese:河北超润润; capacity:环丙羧酸 1200t / 环丙 150t; status:主要产能; cert:—,SUP_Hebei_Chaorun,,0,1
SUP_Jiangsu_Shagang,江苏沙钢焦化,Supplier,chinese:江苏沙钢; capacity:环丙沙星 2500t; status:主要产能; cert:—; desc:环丙沙星最大供应商2500t,SUP_Jiangsu_Shagang,,0,1
SUP_Shanxi_Boda,山西博达制药,Supplier,chinese:山西博达; capacity:环丙沙星 1020t; status:主要产能; cert:—,SUP_Shanxi_Boda,,0,1
SUP_Taizhou_Waishang,台州外商联驱通药业,Supplier,chinese:台州外商; capacity:环丙沙星 600t; status:主要产能; cert:—,SUP_Taizhou_Waishang,,0,1
