source,target,id,description,weight,human_readable_id,text_unit_ids,combined_degree
INT_7-ACA,DRUG_Ceftriaxone,REL_0046,relationship: SYNTHESIZED_FROM; reaction_type: 7-ACT法; detail: C3引入三嗪二酮环（独特结构）,1.0,REL_0046,,2
SCA_Thiazole,DRUG_Ceftriaxone,REL_0047,relationship: SIDE_CHAIN_OF; reaction_type: 7-ACT法,1.0,REL_0047,,2
INT_7-ACA,DRUG_Ceftazidime,REL_0048,relationship: SYNTHESIZED_FROM; reaction_type: 活性酯法; detail: C3吡啶鎓取代（抗假单胞菌关键）,1.0,REL_0048,,2
SCA_Thiazole,DRUG_Ceftazidime,REL_0049,relationship: SIDE_CHAIN_OF; reaction_type: 活性酯法,1.0,REL_0049,,2
INT_GCLE,DRUG_Cefixime,REL_0050,relationship: SYNTHESIZED_FROM; reaction_type: 活性酯法; detail: 氨噻肟酸侧链+C3乙烯基引入,1.0,REL_0050,,2
SCA_ATMA,DRUG_Cefixime,REL_0051,relationship: SIDE_CHAIN_OF; reaction_type: 活性酯法,1.0,REL_0051,,2
INT_GCLE,DRUG_Cefdinir,REL_0052,relationship: SYNTHESIZED_FROM; reaction_type: 活性酯法; detail: 氨噻肟酸侧链+C3乙烯基→噻唑环,1.0,REL_0052,,2
SCA_ATMA,DRUG_Cefdinir,REL_0053,relationship: SIDE_CHAIN_OF; reaction_type: 活性酯法,1.0,REL_0053,,2
INT_GCLE,DRUG_Cefpodoxime,REL_0054,relationship: SYNTHESIZED_FROM; reaction_type: 活性酯法; detail: 前药酯化（proxetil）,1.0,REL_0054,,2
SCA_ATMA,DRUG_Cefpodoxime,REL_0055,relationship: SIDE_CHAIN_OF; reaction_type: 活性酯法,1.0,REL_0055,,2
INT_7-ACA,DRUG_Cefepime,REL_0056,relationship: SYNTHESIZED_FROM; reaction_type: 活性酯法; detail: C3 N-甲基吡咯烷取代（两性离子）,1.0,REL_0056,,2
SCA_Thiazole,DRUG_Cefepime,REL_0057,relationship: SIDE_CHAIN_OF; reaction_type: 活性酯法,1.0,REL_0057,,2
INT_7-ACA,DRUG_Cefpirome,REL_0058,relationship: SYNTHESIZED_FROM; reaction_type: 活性酯法; detail: C3 环戊烯并吡啶取代,1.0,REL_0058,,2
SCA_Thiazole,DRUG_Cefpirome,REL_0059,relationship: SIDE_CHAIN_OF; reaction_type: 活性酯法,1.0,REL_0059,,2
GEN_1,GEN_2,REL_0060,relationship: EVOLVED_TO; description: 第2代在G-谱/β-内酰胺酶稳定性上迭代升级,1.0,REL_0060,,2
GEN_2,GEN_3,REL_0061,relationship: EVOLVED_TO; description: 第3代在G-谱/β-内酰胺酶稳定性上迭代升级,1.0,REL_0061,,2
GEN_3,GEN_4,REL_0062,relationship: EVOLVED_TO; description: 第4代在G-谱/β-内酰胺酶稳定性上迭代升级,1.0,REL_0062,,2
GEN_4,GEN_5,REL_0063,relationship: EVOLVED_TO; description: 第5代在G-谱/β-内酰胺酶稳定性上迭代升级,1.0,REL_0063,,2
