id,title,type,description,human_readable_id,text_unit_ids,degree,frequency
SCA_Cilexetil,Cilexetil (环己氧羰氧乙基),Side Chain / Reagent,chinese: 环己氧羰氧乙基; full_name: 1-[[(Cyclohexyloxy)carbonyl]oxy]ethyl; role: 前药酯化试剂; used_in: ['Candesartan Cilexetil']; desc: 与坎地沙坦羧酸成酯→坎地沙坦酯前药，口服后酯酶水解活化,SCA_Cilexetil,,0,1
SCA_NaN3,Sodium Azide / ZnCl2,Side Chain / Reagent,chinese: 叠氮化钠/氯化锌; role: 四氮唑环化试剂; used_in: ['All BPT synthesis']; desc: 与氰基发生[3+2]环加成→四氮唑环（Click反应前驱）,SCA_NaN3,,0,1
DRUG_Losartan,Losartan,Drug,chinese: 氯沙坦; year: 1995; cas: 114798-26-4; formula: C22H23ClN6O; mw: 422.91; cid: 3961; desc: 首个上市的ARB(Cozaar)，咪唑联苯四氮唑母核，活性代谢物EXP3174; source: BCB→四氮唑→咪唑烷基化→氯沙坦,DRUG_Losartan,,0,1
DRUG_Valsartan,Valsartan,Drug,chinese: 缬沙坦; year: 1996; cas: 137862-53-4; formula: C24H29N5O3; mw: 435.52; cid: 60846; desc: 非杂环ARB(Diovan)，酰化缬氨酸替代咪唑环，全球销量最高ARB; source: BCB+L-缬氨酸→缩合→四氮唑化→缬沙坦,DRUG_Valsartan,,0,1
DRUG_Irbesartan,Irbesartan,Drug,chinese: 厄贝沙坦; year: 1997; cas: 138402-11-6; formula: C25H28N6O; mw: 428.53; cid: 3749; desc: 咪唑啉酮环ARB(Avapro)，长效T1/2=11-15h，insurmountable拮抗; source: BCB→四氮唑→咪唑啉酮环构建→厄贝沙坦,DRUG_Irbesartan,,0,1
DRUG_Candesartan,Candesartan Cilexetil,Drug,chinese: 坎地沙坦酯; year: 1997; cas: 145040-37-5; formula: C33H34N6O6; mw: 610.66; cid: 2540; desc: 苯并咪唑ARB前药(Atacand)，insurmountable拮抗，长效T1/2=9h; source: BCB→四氮唑→三苯甲基保护→苯并咪唑缩合→脱保护→酯化→坎地沙坦酯,DRUG_Candesartan,,0,1
DRUG_Telmisartan,Telmisartan,Drug,chinese: 替米沙坦; year: 1998; cas: 144701-48-4; formula: C33H30N4O2; mw: 514.62; cid: 65999; desc: 双苯并咪唑ARB(Micardis)，最长T1/2≈24h，PPARγ部分激动活性; source: 苯并咪唑母核+BPT缩合→替米沙坦,DRUG_Telmisartan,,0,1
DRUG_Eprosartan,Eprosartan,Drug,chinese: 依普沙坦; year: 1998; cas: 133040-01-4; formula: C23H24N2O4S; mw: 424.52; cid: 5281037; desc: 非联苯非四氮唑ARB(Teveten)，噻吩丙烯酸母核，双通道排泄; source: 噻吩甲醛+丙二酸→Knoevenagel→侧链缩合→依普沙坦,DRUG_Eprosartan,,0,1
DRUG_Olmesartan,Olmesartan Medoxomil,Drug,chinese: 奥美沙坦酯; year: 2002; cas: 144689-63-4; formula: C29H30N6O6; mw: 558.59; cid: 130881; desc: 咪唑ARB前药(Benicar)，最高AT1亲和力之一，medoxomil前药酯化; source: BCB→四氮唑→三苯甲基保护→咪唑缩合→脱保护→Medoxomil酯化,DRUG_Olmesartan,,0,1
DRUG_Azilsartan,Azilsartan Medoxomil,Drug,chinese: 阿齐沙坦酯; year: 2011; cas: 863031-21-4; formula: C30H24N4O8; mw: 568.53; cid: 11238867; desc: 噁二唑酮ARB前药(Edarbi)，对AT1亲和力极高，长效降压; source: BCB→噁二唑酮环构建→Medoxomil酯化→阿齐沙坦酯,DRUG_Azilsartan,,0,1
DRUG_Fimasartan,Fimasartan,Drug,chinese: 非马沙坦; year: 2010; cas: 247257-48-3; formula: C26H31N7OS; mw: 489.64; cid: 9870652; desc: 嘧啶酮ARB(Kanarb，韩国首个自研ARB)，快速起效(1h达峰); source: 嘧啶酮母核+联苯四氮唑侧链偶联→非马沙坦,DRUG_Fimasartan,,0,1
